ID,turno,Nombre,LatitudInicial,LongitudInicial,LatitudFinal,LongitudFinal,frecuencia
66,N,LAMPADEORO,-11.833727,-77.113499,-11.838497,-77.112058,DIARIA
67,N,BELLAAURORA,-11.831305,-77.111463,-11.832144,-77.108535,DIARIA
68,N,SANTAROSABAJO(AMBOSLADOSA),-11.89544,-77.068819,-11.890239,-77.068465,DIARIA
69,N,SANTAROSABAJO(AMBOSLADOSB),-11.890187,-77.068093,-11.895915,-77.067528,DIARIA
70,N,LADERASDECHILLNPARTEBAJA,-11.920417,-77.084508,-11.927958,-77.087055,DIARIA
71,N,SANTAROSAPARTEALTA,-11.875144,-77.074489,-11.874319,-77.089181,DIARIA
72,N,ENSENADAIZQUIERDA,-11.929558,-77.097852,-11.936985,-77.093342,DIARIA
73,N,5ETAPASDECHILLN,-11.925861,-77.079256,-11.923055,-77.078387,DIARIA
74,N,ENSENADAPARTEALTA(LADODERECHOYIZQUIERDO),-11.928204,-77.080451,-11.925474,-77.081443,DIARIA
75,N,PORTALES_FOVIMAR,-11.938241,-77.08661,-11.932347,-77.086006,DIARIA
76,N,ENSENADADERECHA,-11.936887,-77.093327,-11.929552,-77.09783,DIARIA
77,N,LADERAS_VALLECHILLON,-11.91396,-77.074181,-11.916262,-77.082366,DIARIA
78,N,HIJOSDELUYA,-11.844168,-77.09794,-11.835384,-77.109065,DIARIA
79,N,CERCADOB,-11.935925,-77.083327,-11.937448,-77.097464,DIARIA
80,N,AVENIDASPRINCIPALES,-11.935659,-77.083107,-11.917626,-77.073785,DIARIA
81,N,PANAMERICANANORTE,-11.913262,-77.073611,-11.880964,-77.068782,DIARIA
