turno,rutaActual,sb,nombreRuta,xi,yi,xf,yf,frecuencia,unidad
T,26,26.3,PRIMAVERAALFONSOUGARTE,-11.868034,-77.074758,-11.869518,-77.079016,DIARIA,COMPACTA
T,27,27,LASFRESASYLAMERCED,-11.886316,-77.068432,-11.877974,-77.061523,DIARIA,COMPACTA
T,28,28,ROSALUZAYB,-11.877791,-77.064573,-11.882453,-77.074541,DIARIA,COMPACTA
N,29,29.1,PCANTIGUAPANAMERICANA,-11.882541,-77.07451,-11.890232,-77.068743,DIARIA,COMPACTA
N,29,29.2,PCANTIGUAENSENADA,-11.922962,-77.080146,-11.929525,-77.07886,DIARIA,COMPACTA
N,29,29.3,PCCIRCUNVALACIN,-11.867413,-77.080978,-11.869832,-77.077531,DIARIA,COMPACTA
N,30,30,NUEVAESPERANZA,-11.839134,-77.085043,-11.835098,-77.084208,INTERDIARIA(LMi-V),CAMIONETA
N,31,31.1,BELLAVISTA,-11.862161,-77.090474,-11.864451,-77.086439,INTERDIARIA(LMi-V),CAMIONETA
N,31,31.2,CERROVERDE,-11.81783,-77.098557,-11.816675,-77.094398,INTERDIARIA(LMi-V),CAMIONETA
N,31,31.3,ELICEOCOLLAZO,-11.829845,-77.111404,-11.820876,-77.108241,INTERDIARIA(LMi-V),CAMIONETA
N,32,32.1,CERCADOA,-11.833063,-77.113094,-11.829953,-77.105847,DIARIA,COMPACTA
N,32,32.2,LAMPADEORO,-11.833727,-77.113499,-11.838497,-77.112058,DIARIA,COMPACTA
N,33,33,BELLAAURORA,-11.831305,-77.111463,-11.832144,-77.108535,DIARIA,COMPACTA
N,34,34,SANTAROSABAJO(AMBOSLADOSA),-11.89544,-77.068819,-11.890239,-77.068465,DIARIA,COMPACTA
N,34,34,SANTAROSABAJO(AMBOSLADOSB),-11.890187,-77.068093,-11.895915,-77.067528,DIARIA,COMPACTA
N,35,35,LADERASDECHILLNPARTEBAJA,-11.920417,-77.084508,-11.927958,-77.087055,DIARIA,COMPACTA
N,36,36,SANTAROSAPARTEALTA,-11.875144,-77.074489,-11.874319,-77.089181,DIARIA,BARANDA
N,37,37,ENSENADAIZQUIERDA,-11.929558,-77.097852,-11.936985,-77.093342,DIARIA,BARANDA
N,38,38,5ETAPASDECHILLN,-11.925861,-77.079256,-11.923055,-77.078387,DIARIA,BARANDA
N,39,39,ENSENADAPARTEALTA(LADODERECHOYIZQUIERDO),-11.928204,-77.080451,-11.925474,-77.081443,DIARIA,BARANDA
N,40,40.1,PORTALES_FOVIMAR,-11.938241,-77.08661,-11.932347,-77.086006,DIARIA,COMPACTA
N,40,40.2,ENSENADADERECHA,-11.936887,-77.093327,-11.929552,-77.09783,DIARIA,COMPACTA
N,41,41,LADERAS_VALLECHILLON,-11.91396,-77.074181,-11.916262,-77.082366,DIARIA,COMPACTA
N,42,42,HIJOSDELUYA,-11.844168,-77.09794,-11.835384,-77.109065,DIARIA,COMPACTA
N,43,43,CERCADOB,-11.935925,-77.083327,-11.937448,-77.097464,DIARIA,COMPACTA
N,44,44,AVENIDASPRINCIPALES,-11.935659,-77.083107,-11.917626,-77.073785,DIARIA,COMPACTA
N,45,45,PANAMERICANANORTE,-11.913262,-77.073611,-11.880964,-77.068782,DIARIA,COMPACTA
