ID;turno;Nombre;Latitud;Longitud;frecuencia
84;M;LAS VEGAS;-11.864401;-77.074354;DIARIA
85;M;PANCHA PAULA DERECHO;-11.856525;-77.065079;DIARIA
86;M;SANTA PAULA;-11.850263;-77.058083;DIARIA
87;M;LOMAS ZAPALLAL;-11.818736;-77.098690;DIARIA
88;M;CALICHE;-11.850823;-77.105521;DIARIA
89;M;ANIMAS DEL SUR;-11.905449;-77.070993;DIARIA
90;M;A 3;-11.912062;-77.086496;DIARIA
91;M;EUCALIPTOS;-11.908108;-77.083869;DIARIA
92;M;GALLINAZOZ  CASA HUERTA;-11.878041;-77.060580;DIARIA
93;M;SANTA BARBARA;-11.886393;-77.075077;DIARIA
94;M;CAMINOREAL;-11.860177;-77.093934;DIARIA
95;M;ORQUIDEAS - CASUARINAS;-11.842732;-77.086931;DIARIA
96;M;LOMAS LADO DERECHO;-11.815997;-77.099084;DIARIA
97;M;PALMITOS - -PANCHA PAULA IZQUIERDA;-11.852729;-77.059270;DIARIA
98;M;CHAVIN DE HUANTAR;-11.829985;-77.091122;DIARIA
99;M;PRIMERO DE MAYO;-11.861934;-77.094925;DIARIA
100;M;ANIMAS;-11.905460;-77.070983;DIARIA
101;M;LADERAS II EXPLANADA;-11.919986;-77.088934;INTERDIARIA (M  J - S)
102;M;LADERAS II EXPLANADA U3;-11.923417;-77.089881;INTERDIARIA (M  J - S)
103;M;VIRGEN DEL FATIMA;-11.835403;-77.109079;INTERDIARIA (L  Mi - V)
104;M;CERRO GORDO;-11.851419;-77.092006;INTERDIARIA (L  Mi - V)
105;M;EL POR VENIR;-11.854606;-77.084773;INTERDIARIA (L  Mi - V)
106;M;PANAMERICA NORTE;-11.860471;-77.079865;DIARIA
107;M;AVENIDAS DEL SUR;-11.865426;-77.073930;DIARIA
108;M;COLONIA EL DORADO;-11.817901;-77.098601;INTERDIARIA (M  J - S)
109;M;ARENITAS;-11.829006;-77.114547;INTERDIARIA (M  J - S)
110;M;COMIT 6,7, 8  MONTE DE SENAIN;-11.826640;-77.119221;INTERDIARIA (M  J - S)
111;M;LADERAS PARTES ALTAS MZ Z;-11.917794;-77.095025;INTERDIARIA (L  Mi - V)
112;M;LADERAS PARTES ALTAS MZ S;-11.921028;-77.095681;INTERDIARIA (L  Mi - V)
113;T;COPACABANA  LOS SAUCES;-11.850488;-77.081187;DIARIA
114;T;PSJE SAN MIGUEL;-11.849783;-77.072435;DIARIA
